Asset Name,Parent Asset,Make,Model,Serial Number
BAK - Bakery,PDX - Portland,,,
CDC - CDC,PDX - Portland,,,
VOG - Vogan,PDX - Portland,,,
BL - Bread Line,BAK - Bakery,,,
EL - English Muffin Line,BAK - Bakery,,,
ML - Main Line,BAK - Bakery,,,
SL - String Line,BAK - Bakery,,,
SUPP - Support Equipment,BAK - Bakery,,,
319 - BREAD PROOFBOX,BL - Bread Line,PFENNING,,
320 - WIDGET RACK UNLOADER,BL - Bread Line,WIDGET,,
322 - 960 TUNNEL OVEN,BL - Bread Line,APV,960,44159
326 - B/L METAL DETECTOR,BL - Bread Line,,,
328 - BREAD COOLER,BL - Bread Line,STEWART,,B1018174
330 - BREAD PAN STACKER,BL - Bread Line,STEWART,,B09236
331 - BREAD PAN UNSTACKER,BL - Bread Line,STEWART,,B011308
366 - UBE SLICER #1,BL - Bread Line,UBE,90-75,1800-521
367 - UBE SLICER #2,BL - Bread Line,UBE,90-75,1800-587
368 - UBE OVERWRAPPER #1,BL - Bread Line,UBE,175,175-061
369 - UBE OVERWRAPPER #2,BL - Bread Line,UBE,175,175-060
370 - UBE BAGGER #1,BL - Bread Line,UBE,75-1,7500-268
371 - UBE BAGGER #2,BL - Bread Line,UBE,75-1,7500-267
308 - #3 MIXER,BL - Bread Line,BAKER PERKINS,1300#,
316 - V/L BREAD OVERHEAD PROOFER,BL - Bread Line,APV,APV,
310 - #4 MIXER,BL - Bread Line,APV,2000#,54961
314 - BL VEMAG DIVIDER,BL - Bread Line,VEMAG,HP 25E,1640793
317 - BREAD SHEETER/ MOULDER,BL - Bread Line,LANE,P-4,P-4 3090
300 - OS DOUGH TRO SCALES,BL - Bread Line,,,
301 - OS TRO GREASE SYSTEM,BL - Bread Line,,,
302 - SIFTING FLOUR HOPPER ASSY,BL - Bread Line,BAKER PERKINS,,
303 - #3 MIXER FLOUR HOPPER ASSY,BL - Bread Line,APV,900 LBS,
303 - #3 MIXER FLOUR HOPPER SCALE ASSY,BL - Bread Line,BAKER PERKINS,900#,
304 - #4 MIXER FLOUR HOPPER ASSY,BL - Bread Line,APV,900 LBS,
304 - #4 MIXER FLOUR HOPPER SCALE ASSY,BL - Bread Line,BAKER PERKINS,900#,
305 - #3 MIXER SUGAR METER,BL - Bread Line,,,
305 - #3 MIXER WATER METER,BL - Bread Line,SPANGLER,,
305 - #3 MIXER SOY OIL METER,BL - Bread Line,,,
305 - #3 MIXER YEAST METER,BL - Bread Line,,,
306 - #4 MIXER SUGAR METER,BL - Bread Line,,,
306 - #4 MIXER WATER METER,BL - Bread Line,SPANGLER,,
306 - #4 MIXER SOY OIL METER,BL - Bread Line,,,
307 - #4 MIXER INGREDIATOR ASSY,BL - Bread Line,APV CREPACO,APV CREPACO (150 GAL,AO176
309 - #4 TRO-HOIST ASSY,BL - Bread Line,APV,40676,W/O #2827
310 - #4 MIXER DOOR HYDRAULIC UNIT,BL - Bread Line,APPLIED IND,,
311 - BREAD TRO ROOM,BL - Bread Line,CLOCK ASSOC,,
312 - BL BUN TROUGHS,BL - Bread Line,UNION STEEL,,
313 - #3 AND#4 MIXER GLYCOL SYSTEM,BL - Bread Line,PROCHILLER SYSTEMS,5H60,
315 - BREAD DOUGH ROUNDER,BL - Bread Line,APV,,
318 - HYDROPLATE PAN OILER,BL - Bread Line,BURFORD,7100,
321 - OVEN FEED CONVEYOR,BL - Bread Line,,,
321 - T-TRANSFER,BL - Bread Line,,,
322 - 960 TUNNEL OVEN LOADER,BL - Bread Line,APV,960,44159
322 - 960 TUNNEL OVEN UNLOADER,BL - Bread Line,APV,960,44159
323 - D-1 THRU D-3 CONV,BL - Bread Line,APV,,
324 - AD-II BREAD DEPANNER,BL - Bread Line,STEWART,AD-11,1285684
325 - PAN RETURN CONVEYORS,BL - Bread Line,,,
325 - PAN FEED CONVEYORS,BL - Bread Line,,,
327 - COOLER FEED CONVEYORS,BL - Bread Line,STEWART,,
329 - COOLER DISCHARGE CONVEYORS,BL - Bread Line,,,
332 - BL PAN TRUCKS  90,BL - Bread Line,,,
333 - BL RETARDER BOX,BL - Bread Line,BOHN/HEAT CRAFT,B2T055L6CTAR,T04K 03390
"350 - 1,2,3,FLOUR SYSTEM ACCUMULATORS & BLOWERS",BL - Bread Line,,,
"350 - 1,2,3,FLOUR SYSTEM SIFTER",BL - Bread Line,,,
"350 - 1,2,3,FLOUR SYSTEM BINS & AUGERS",BL - Bread Line,,,
352 - BREAD COOLER WINDOW FANS,BL - Bread Line,,,
353 - TRO ROOM HEAT & HUMIDITY,BL - Bread Line,,,
355 -  PROOFBOX MONORAIL SYS,BL - Bread Line,PFENNING,,
356 - BREAD SEEDER/SPRAYER & TOPPING UNIT,BL - Bread Line,FEDCO,,
357 - HIGH SPEED FLOUR DUSTER,BL - Bread Line,BURFORD,,
360 - #3 BREAD YEAST METER,BL - Bread Line,GOLDEN SEAL,RED LION,
361 - #4 BREAD YEAST METER,BL - Bread Line,GOLDEN SEAL,RED LION,
362 - PAN OIL SUPPLY PUMP SYSTEM,BL - Bread Line,PACO,,
363 - BREAD PROOFBOX RACKS,BL - Bread Line,INDIANA WIRE,,
364 - BREADLINE ELECTRICAL PANELS,BL - Bread Line,APV,,
373 - BURFORD WIRE TYER #1 RH,BL - Bread Line,BURFORD,,
374 - BURFORD WIRE TYER #2 LH,BL - Bread Line,BURFORD,,
375 - FORMOST BREAD BAGGER,BL - Bread Line,FORMOST,13261,6638
376 - FORMOST KWIK- LOC,BL - Bread Line,KWIK- LOC,,
377 - #3 IMAJE INK JET PRINTER,BL - Bread Line,IMAJE,,
377 - #3 IMAJE INK JET PRINTER,BL - Bread Line,IMAJE,,
378 - B/L DATAMAX H4X PRINTER & BOX MACHINE,BL - Bread Line,DATAMAX,H4X,
379 - #1 KWIK-LOC,BL - Bread Line,KWIK-LOC,,
380 - #2 KWIK-LOC,BL - Bread Line,KWIK-LOC,,
323 - D-1 OVEN DISCHARGE CONVEYOR,BL - Bread Line,,,
323 - D-2 OVEN DISCHARGE CONVEYOR,BL - Bread Line,,,
323 - D-3 OVEN DISCHARGE CONVEYOR,BL - Bread Line,,,
800 - MUFFIN SUGAR METER,EL - English Muffin Line,,,
800 - EL BUN YEAST METER,EL - English Muffin Line,GOLDEN SEAL,RED LION,
800 - E/L MIXER WATER METER,EL - English Muffin Line,SPANGLER,,
802 - AMF DOUGH PUMP,EL - English Muffin Line,AMF,,
810 - CLOCK MUFFIN SCORER/SLICER,EL - English Muffin Line,CLOCK,,
811 - E/L BUN METAL DETECTOR,EL - English Muffin Line,GORING KERR,,
801 - PEERLESS MUFFIN MIXER,EL - English Muffin Line,PEERLESS,HS13HD,208175
804 - CLOCK OVERHEAD PROOFER,EL - English Muffin Line,CLOCK ASSOC,,
805 - CLOCK MUFFIN GRIDDLE,EL - English Muffin Line,CLOCK ASSOCIATES,,
807 - MUFFIN COOLER,EL - English Muffin Line,STEWART,,
811 - FORMOST MUFFIN BAGGER,EL - English Muffin Line,FORMOST,GT-4,
803 - VEMAG DIVIDER,EL - English Muffin Line,VEMAG,HP20E,1630351
800 - MIXER FLOUR SCALE ASSY.,EL - English Muffin Line,BAKER PERKINS,,
800 - E/L BUN ELECTRICAL PANELS,EL - English Muffin Line,BAKERY SERVICES INC,,
800 - MUFFIN SOY OIL METER,EL - English Muffin Line,,,
801 - E/L MIXER GLYCOL SYSTEM,EL - English Muffin Line,,5H60,
803 - AMF MUFFIN ROUNDER,EL - English Muffin Line,AMF,,
803 - VEMAG WATERWHEEL,EL - English Muffin Line,VEMAG,HP20E,1630351
804 - E/L VAC-U-MAX FLOUR RECLAIMS,EL - English Muffin Line,VAC-U-MAX,,
805 - MUFFIN OVEN LOADER,EL - English Muffin Line,CLOCK,,
806 - MUFFIN COOLER INFEED CONVEYORS,EL - English Muffin Line,,,
808 - MUFFIN COOLER OUTFEED CONVEYORS,EL - English Muffin Line,FRANZ,,
809 - FORMOST SORTING TABLE,EL - English Muffin Line,FORMOST,,
811 - E/L KWIK- LOC,EL - English Muffin Line,KWIK- LOC,RIGHT HAND,
812 - UBE MUFFIN BAGGER,EL - English Muffin Line,UBE,,
812 - E/L HINGE SLICER,EL - English Muffin Line,UBE,,
812 - E/L BAND SLICER,EL - English Muffin Line,UBE,,
812 - KWIK- LOC ASSY.,EL - English Muffin Line,KWIK- LOC,RIGHT HAND,
813 - HAYSSEN MARKEM CODER,EL - English Muffin Line,MARKEM CORP,,
814 - KWIK-LOK BOX FORMER,EL - English Muffin Line,KLIKLOK WOODMAN,K22703,
815 - YAMATO SCALE HEAD,EL - English Muffin Line,YAMATO (HAYSSEN),,X85179
816 - CUBE OVEN FEED CONV. #1 THRU #3,EL - English Muffin Line,CLOCK ASSOC.,,
817 - #6 IMAJE INK JET CODER,EL - English Muffin Line,IMAJE,,
818 - #7 IMAJE INK JET CODER,EL - English Muffin Line,IMAJE,,
047 - 069 WEST MIXER #1,ML - Main Line,APV BAKER,69,58232
048 - SUGAR METER BUN #1 SPONGE,ML - Main Line,"SPANGLER, NEPTUNE","SPANGLER, NEPTUNE",
048 - WATER METER BUN #1 SPONGE,ML - Main Line,SPANGLER,,
049 - SUGAR METER BUN #2 DOUGH,ML - Main Line,"SPANGLER, NEPTUNE","SPANGLER, NEPTUNE",
049 - WATER METER BUN #2 DOUGH,ML - Main Line,SPANGLER,,
070 - AMF 610 P.O.M. NORTH,ML - Main Line,APV BAKER,AMF 610,
071 - AMF 610 P.O.M. SOUTH,ML - Main Line,APV BAKER,AMF 610,
105 - ML BUN PAN UNSTACKER,ML - Main Line,APV,42-SS,1881-01-006
109 - D-1 THRU D-4 OVEN DISCH. CONVS.,ML - Main Line,APV,APV BAKER,
110 - MAINLINE BUN DEPANNER,ML - Main Line,SASIB,CD-29 (999294-B591),300810
119 - BUN METAL DETECTOR #1,ML - Main Line,GORING KERR,66 SS 24 INT R,156083806
120 - BUN METAL DETECTOR #2,ML - Main Line,GORING KERR,66 SS 24 INT R,
046 - 069 EAST DO-MIXER #2,ML - Main Line,APV BAKER,69,58233
066 - M/L DOUGH CHUNKER,ML - Main Line,ALLIANCE BAKERY SYSTEMS,,
068 - AMF KRD-IIE BUN DIVIDER (SOUTH),ML - Main Line,AMF,AMF KRD-IIE,97038
069 - AMF KRD-IIE BUN DIVIDER (NORTH),ML - Main Line,AMF,AMF KRD-IIE,97037
078 - R-21 THRU R-45 PAN CONVEYORS,ML - Main Line,APV BAKER,APV BAKER,
079 - P-1 THRU P-9 PROOFER FEED CONVS,ML - Main Line,APV BAKER,APV BAKER,
097 - P-10 THRU P-15 PROOFER FEED CONV,ML - Main Line,APV BAKER,APV BAKER,
098 - R-1 THRU R-20 PAN CONVEYORS,ML - Main Line,APV BAKER,APV BAKER,
098 - R-7 THRU R-20 PAN CONVEYORS,ML - Main Line,APV BAKER,APV BAKER,
102 - 270 TRAY AUTOMATIC PROOFBOX,ML - Main Line,APV BAKER,APV BAKER,58251
103 - GLAZE SPRAYER,ML - Main Line,SPRAYING SYSTEM,,
104 - O-1 THRU O-4 OVEN FEED CONVS.,ML - Main Line,APV BAKER,APV BAKER,
106 - ML BUN PAN STACKER,ML - Main Line,APV,60,60600
116 - C-1 THRU C-19 PRODUCT CONVS.,ML - Main Line,STEWERT,WENDWAY,
117 - BUN COOLER,ML - Main Line,VELTON PULVER,VELTON PULVER,31080-69
118 - C-20 THRU C-55 PRODUCT CONVS,ML - Main Line,STEWERT,WENDWAY,
124 - #7 AMF HS BUN BULKPACKER,ML - Main Line,AMF,AMF HS,1041
129 - #8 AMF HS BUN BULKPACKER,ML - Main Line,AMF,AMF HS,1042
135 - 9A UBE AL90 BUN BAGGER,ML - Main Line,UBE,AL90,2373
077 - BUN SEEDER/SPLITTER/SPRAYER,ML - Main Line,BURFORD,BURFORD SMART SEEDER,15754
115 - POST OVEN  BUN SPRAYER,ML - Main Line,SRAYING SYSTEMS,,
141 - 9B UBE AL90 BUN BAGGER,ML - Main Line,UBE,AL90,2372
107 - 970 38 TRAY OVEN,ML - Main Line,APV BAKER,970,58253
039 - ML TRO GREASE SYSTEM,ML - Main Line,,,
040 - NS DOUGH TRO SCALES,ML - Main Line,,,
041 - ML TRO ROOM HEAT & HUMIDITY,ML - Main Line,CLOCK ASSOC,,
042 - ALL BUN #1 ELECTRICAL PANELS,ML - Main Line,ELECTRICAL PANELS,,
043 - BUN #1 FLOUR SYSTEM ACCUMULATOR & BLOWER,ML - Main Line,APV BAKER,,
043 - BUN #1 FLOUR SYSTEM SIFTER,ML - Main Line,APV BAKER,,
043 - BUN #1 FLOUR SYSTEM BINS & AUGERS,ML - Main Line,APV BAKER,,
044 - TRO-HOIST BUN #1  (EAST),ML - Main Line,APV BAKER,APV BAKER,58248
045 - TRO-HOIST BUN #1  (WEST),ML - Main Line,APV BAKER,APV BAKER,58249
048 - SOY OIL METER BUN #1 SPONGE,ML - Main Line,"SPANGLER, NEPTUNE","SPANGLER, NEPTUNE",
049 - SOY OIL METER BUN #2 DOUGH,ML - Main Line,"SPANGLER, NEPTUNE","SPANGLER, NEPTUNE",
050 - DOOR HYDRAULIC UNIT EAST,ML - Main Line,APPLIED IND,,
051 - DOOR HYDRAULIC UNIT WEST,ML - Main Line,APPLIED IND,,
054 - INGREDIATOR ASSY (EAST),ML - Main Line,APV CREPACO,APV CREPACO (150 GAL,AO176
055 - INGREDIATOR ASSY (WEST),ML - Main Line,APV CREPACO,APV CREPACO (150 GAL,AO177
060 - BUNLINE #1 TRO-ROOM,ML - Main Line,CLOCK ASSOC,CLOCK,
061 - EAST MIXER FREON COMPRESSOR,ML - Main Line,CARRIER,CARRIER 5H60,
062 - WEST MIXER FREON COMPRESSOR,ML - Main Line,CARRIER,CARRIER 5H60,
072 - BUN PAN SHAKER (NORTH),ML - Main Line,BURFORD,BURFORD,
073 - BUN PAN SHAKER (SOUTH),ML - Main Line,BURFORD,BURFORD,
074 - KAISER CUTTING EQUIP (SOUTH),ML - Main Line,BAKERMATE,BAKERMATE (LEMATIC,
075 - KAISER CUTTING EQUIP (NORTH),ML - Main Line,BAKERMATE,BAKERMATE (LEMATIC),
099 - PAN CLEANER,ML - Main Line,HENRY GROUP,THG2600BPC,BPC 0305B
100 - MAGNETIC PAN INDEXER (NORTH),ML - Main Line,EMICO,2150-EU-A,
101 - MAGNETIC PAN INDEXER (SOUTH),ML - Main Line,EMICO,2150-EU-A,
108 - CATALYTIC OXIDIZER,ML - Main Line,,,
123 - #7 BUN BAND SLICER,ML - Main Line,LEMATIC,DOUBLE BAND SLICER,848287
124 - BASKET ORIENTOR,ML - Main Line,AMF,30-A-52,150238
125 - #7 BUN BASKET LOADER,ML - Main Line,AMF,BL,99088
126 - #7 BUN BASKET STACKER,ML - Main Line,PULVER,PULVER BOTTOM-UP STK,
127 - #7 MARKEM CODER,ML - Main Line,MARKEM,SMARTDATE 2,98COB11163
128 - #8 BUN BAND SLICER,ML - Main Line,LEMATIC,DOUBLE BAND SLICER,874687
129 - BASKET ORIENTOR,ML - Main Line,AMF,30-A-52,150239
130 - #8 BUN BASKET LOADER,ML - Main Line,AMF,BL,99087
131 - #8 BUN BASKET STACKER,ML - Main Line,PULVER,BOTTOM-UP STACKER,32338-026-1
132 - #8 MARKEM CODER,ML - Main Line,MARKEM,SMARTDATE 2,99COB11243
134 - 9A MARKEM CODER,ML - Main Line,MARKEM,SMARTDATE 5,94457
136 - 9A BAND SLICER,ML - Main Line,UBE,,
137 - 9A BAND SLICER #2,ML - Main Line,AMF,800,279
138 - 9A CONEY SLICER,ML - Main Line,UBE,HINGE SLICER,
139 - 9A KWIK LOK  ASSEMBLY,ML - Main Line,KWIK LOK 872 XLS,1JNRPL,94455
142 - 9B BAND SLICER,ML - Main Line,UBE,,
143 - 9B BAND SLICER #2,ML - Main Line,AMF,800,279
144 - 9B CONEY SLICER,ML - Main Line,UBE,HINGE SLICER,
145 - 9B KWIK LOK ASSEMBLY,ML - Main Line,KWIK LOK 872 XLS,1JNRPL,94458
147 - 9B MARKEM CODER,ML - Main Line,MARKEM,SMARTDATE 5,94460
148 - BUN BASKET WASHER,ML - Main Line,KUHL,PCW1200  HIPE 3000,1200
149 - BA-1 THRU BA-11 BASKET CONVS.,ML - Main Line,PULVER,BASKET CONVEYORS,
150 - 9B COSTCO PACKAGING LINE,ML - Main Line,KWIK-LOK,1084,5598
151 - ML PAN TRUCKS  90,ML - Main Line,,,
152 - #4 IMAJE INK JET CODER,ML - Main Line,IMAJE,,
153 - #5 IMAJE INK JET CODER,ML - Main Line,IMAJE,,
154 - ML BUN FLOUR DUST COLLECTOR,ML - Main Line,AGETT,,
155 - TELESONIC BAGGER,ML - Main Line,,,
156 - ML BUN TROUGHS,ML - Main Line,UNION STEEL,,
157 - SPONGE YEAST METER,ML - Main Line,GOLDEN SEAL,RED LOIN,
